f1,f2,f3,f4,f5,f6
68852.3868,39.2271252,669544.164,5362945.42,116630.885,3.6652354
67983.1342,225.772275,1390993.75,1410026.59,8713.488,0.0
64309.1868,34.0007268,405388.666,5572946.04,215076.652,34070.7025
67613.4573,43.2237561,313920.34,8876688.83,222708.986,37484.7332
68326.6731,375.710811,1475595.95,1256402.6,4638.11905,0.0
64851.8819,64.024787,554453.147,4521612.89,83038.7873,2.32155149
66078.0414,308.598635,865596.898,2948110.07,10448.0565,0.0
64420.8149,30.5047451,288850.994,6896729.82,337495.558,89381.7959
66553.3732,181.192055,343339.808,7644258.31,49939.3084,0.997572337
68180.5223,79.1440938,463045.95,7217629.71,84657.8147,2.38631259
68600.8505,140.551878,1486320.78,1264923.3,13782.7615,0.0
63915.0761,120.567779,301885.131,6433245.94,80978.9411,2.23915765
68114.3148,30.9075851,738044.153,4445511.14,132626.23,1960.61859
68798.5088,120.983054,905424.759,3539865.92,29442.2589,0.177690355
66994.9377,178.242102,310930.894,8425686.68,56448.2567,1.25793027
66184.7696,96.7172599,706303.818,3928381.15,43671.2054,0.746848215
64364.15,71.1907916,290035.086,6846471.73,143891.041,5892.81571
65876.031,310.246959,563331.923,4895774.21,17407.07,0.0
64892.047,41.637806,320958.448,6813258.22,222890.872,37406.734
66000.6459,197.056843,862175.422,2944508.82,16746.1155,0.0
64402.1369,66.3608671,423054.534,5451022.39,105248.55,3.20994199
70963.7098,43.6723267,977447.674,3817186.44,74164.9744,1.96659898
64273.5869,276.380893,290035.086,6789226.43,36825.8413,0.473033651
68852.3868,30.1023646,669544.164,5362945.42,150963.301,8595.52891
67624.6347,95.4313927,1097704.12,2272069.32,28492.9885,0.139719538
68202.5719,33.619158,433266.397,7617033.19,207864.417,31251.3207
67237.1522,32.7702842,343339.808,8144562.07,267302.652,56206.8707
70221.285,35.6788324,559055.281,7379295.54,154566.975,9984.42635
66205.6258,599.701657,743110.445,3691814.28,6664.62666,0.0
65996.6092,34.3599856,399947.1,6578713.45,217700.966,35270.1084
66960.4456,33.5538731,806948.382,3543173.95,110451.563,3.41806253
66471.6877,123.578525,965037.987,2571873.09,24280.4413,0.0
67441.5324,87.3753505,367462.124,7959186.4,95695.2247,2.82780899
68876.6088,92.2669125,1628344.69,1013549.2,19046.9576,0.0
64379.003,172.623832,425945.53,5412050.57,39706.6264,0.588265056
66014.7961,782.878781,866412.682,2926716.52,3620.72219,0.0
66092.3835,1304.3452,886975.132,2844240.76,1807.10924,0.0
66612.2964,33.9979705,419820.046,6728438.86,210276.01,32178.7052
64115.3754,62.6826859,356117.725,5963667.7,132509.394,1781.07742
69302.1208,30.0285947,594309.582,6373297.86,170901.748,15791.1247
66939.5356,149.105611,806948.382,3536311.64,25285.4864,0.0114194544
64798.9159,79.4485991,540904.327,4606797.22,68459.4135,1.73837654
67425.1083,111.643644,1221419.06,1798458.22,21144.525,0.0
64784.0983,35.5431771,537284.891,4629536.94,155007.823,9855.86545
66956.4012,514.031224,286526.394,8759822.5,23031.3225,0.0
65195.5775,73.395929,643161.836,4000350.76,62270.758,1.49083032
67378.7146,1249.56523,1132840.1,2089144.59,1760.94106,0.0
65059.4252,151.213738,325267.01,6868129.91,60953.1238,1.43812495
65093.9655,151.821488,403515.801,6013111.3,48730.9476,0.949237905
66331.904,207.811395,870981.721,2990173.23,16017.1408,0.0
65957.9225,206.559494,771043.43,3436829.83,18259.8771,0.0
66865.3566,40.1168493,415400.277,6941345.52,180678.016,19749.3352
65235.8625,78.4718708,465612.5,5468753.0,81485.0573,2.25940229
69799.2839,320.936518,1877660.3,715478.882,4171.85993,0.0
66104.1376,462.503959,567759.836,4962037.84,11959.4464,0.0
66013.0131,983.25745,854448.828,2987786.45,2825.58678,0.0
66697.8851,47.1906243,318208.85,8093656.41,200496.347,28093.0174
65456.6727,146.561663,546482.25,4849183.8,37115.209,0.48460836
67264.7947,82.9043536,433238.266,6983087.33,85377.5208,2.41510083
71717.3062,43.9859952,681497.837,6850566.12,105867.087,3.23468347
66410.0954,775.522143,878986.613,2970268.41,4001.76726,0.0
68799.7418,36.577738,1443166.28,1388938.39,56312.7623,1.25251049
65178.3374,767.66226,435268.643,5734583.88,9036.39996,0.0
65374.8169,87.750046,635610.274,4121180.34,52828.6893,1.11314757
64547.4616,747.295785,474185.563,5054654.12,7630.37017,0.0
69003.9224,210.949715,1442632.9,1416796.19,9973.30493,0.0
64551.9356,384.247566,437232.854,5392566.71,17106.9145,0.0
65270.595,76.1017523,550856.525,4730104.36,70700.5344,1.82802138
64396.7794,34.7437291,290648.362,6859890.9,294436.813,68676.1419
67048.5515,182.014621,691595.886,4366245.26,24818.8116,0.0
65545.6271,709.170331,740170.796,3490489.76,4906.04131,0.0
67287.2181,372.131976,1108389.68,2161527.48,6871.54544,0.0
67225.293,39.6795784,509539.375,6092544.51,149310.799,7947.33562
71718.4266,33.5221692,681797.23,6847709.57,136786.148,3657.99064
65958.8401,151.950323,295880.565,7857055.8,67805.1278,1.71220511
66893.2009,30.195653,419747.466,6906846.2,236886.21,43382.8159
64800.44,201.895083,403515.801,5851678.11,36348.3575,0.453934302
65962.6985,331.219128,703278.157,3868639.94,12651.3792,0.0
64994.349,111.851216,296618.463,7175744.46,90183.3847,2.60733539
64202.9609,271.554296,331876.193,6271314.67,32460.8799,0.298435196
64997.6987,60.6739072,593379.838,4283009.97,81866.0331,2.27464132
66324.0622,131.26472,883022.006,2926052.76,25185.2329,0.00740931472
67645.7049,499.869543,1298822.35,1604322.16,3831.76232,0.0
69597.4666,30.4690405,345671.254,10095877.8,288073.192,65924.7505
64743.408,154.597014,403515.801,5820818.15,47453.7347,0.898149389
65838.8377,680.307392,740170.796,3586678.96,5485.60019,0.0
70371.5472,33.072212,901068.153,4126837.84,103946.527,3.15786107
71280.288,43.416606,618624.572,7339072.12,117153.241,3.68612964
65078.1671,37.4785103,614748.378,4157589.88,128353.908,289.293455
64115.3754,88.0893795,356117.725,5963667.7,94073.8862,2.76295545
64345.5767,1307.89916,387820.018,5765355.94,5240.59409,0.0
66830.1285,129.656614,439461.379,6635032.01,54233.595,1.1693438
64055.5096,592.758467,328589.872,6221639.22,14569.526,0.0
66069.2268,142.852952,880929.56,2868153.49,22873.6769,0.0
65814.4315,1212.02252,809039.473,3174446.48,2285.36413,0.0
66854.1326,87.3753505,322683.343,8148071.82,108066.767,3.3226707
67233.0636,95.7419338,511615.901,6074946.15,62909.6794,1.51638717
65050.8119,153.389074,494433.146,5112795.61,38953.7191,0.558148766
66475.8407,495.99561,899527.55,2883505.79,6292.43108,0.0
68083.2204,30.7335302,1189065.57,2022309.95,81632.1773,2.26528709
67361.6654,33.9979705,520412.976,6054425.37,170421.505,15529.6513
68177.0549,521.649336,1443572.33,1310097.54,3188.27076,0.0
64810.7177,54.1234387,543303.02,4592632.39,100403.945,3.01615778
65802.9478,313.385221,306552.47,7601834.69,32377.8349,0.295113395
64690.1363,1022.32242,347122.111,6389309.02,8333.16839,0.0
65054.1571,47.1906243,495327.086,5106432.63,126992.924,9.08566121
69988.8531,30.0152704,794653.148,4793166.45,128860.067,697.878673
71680.5347,32.8378225,1705869.38,1148582.43,55258.9949,1.2103598
67287.2181,1275.36112,1108389.68,2161527.48,1763.85554,0.0
67892.6093,63.6095645,414764.62,7643396.21,116113.934,3.64455734
65926.3234,117.413403,716891.346,3765361.08,35120.8744,0.404834975
76017.022,56.7898287,2659443.23,326728.309,22739.5796,0.0
65780.533,629.51726,803834.311,3193275.97,5113.62795,0.0
68031.7328,30.3007339,482402.352,6882981.3,206740.304,30758.7442
66163.2911,1232.72879,906069.256,2769444.41,1898.52456,0.0
67978.5603,30.2757982,705789.963,4643323.79,141414.018,5113.98244
69535.3438,99.069825,1017318.18,3119617.5,32169.3376,0.286773505
67228.6841,32.8276699,924300.782,2961513.92,98426.843,2.93707372
68699.021,207.791084,285357.882,10316798.8,55023.1288,1.20092515
67760.3276,544.047875,1332808.95,1528355.26,3337.82456,0.0
63987.1206,768.09854,324539.98,6226034.32,11168.6022,0.0
67926.2922,42.0930267,1250193.7,1791993.79,56312.6391,1.25250556
68247.778,30.3007339,366317.12,8594041.13,271984.686,58227.4215
67041.8133,1233.59286,1140834.87,1996925.1,1348.97805,0.0
67902.8752,169.539511,417507.95,7614242.17,45387.2794,0.815491176
68114.5805,33.005294,1423492.3,1348844.6,62568.1698,1.50272679
68359.6216,677.197639,1407577.11,1418584.09,2725.66454,0.0
64412.4789,119.983619,353806.093,6154930.32,69675.3146,1.78701258
65711.6878,30.3007339,291144.973,7742599.07,338573.726,89979.3816
66194.5361,1347.07557,913616.961,2741240.79,1655.78537,0.0
64370.6337,36.4055622,424740.031,5419207.91,191624.37,24209.5346
66642.4128,295.849428,445636.309,6450872.4,24345.2053,0.0
70466.3354,31.2567888,1412241.47,1710634.74,69411.3591,1.77645436
65121.1947,32.9541689,617353.044,4155333.61,145499.027,6444.91324
64359.9625,87.2413353,415451.399,5502059.07,81347.1619,2.25388648
65941.4569,390.00705,580317.832,4782115.59,13532.0223,0.0
65686.7441,229.666423,289669.905,7744565.74,46066.3708,0.842654832
65634.2704,65.2412477,445386.98,5877788.74,102991.177,3.1196471
64566.9589,53.2940696,289669.905,6980859.22,192750.206,24722.3465
66268.4225,638.658704,728305.128,3810274.34,6521.58074,0.0
66824.8436,109.750279,922838.262,2859949.11,29298.7341,0.171949363
66986.8689,30.0020443,437634.228,6753593.2,228777.184,39974.865
67869.6913,36.1676969,1169429.0,2051581.01,70401.2215,1.81604886
68515.781,119.983619,1450322.73,1336107.47,16695.2449,0.0
64681.4666,862.152074,500728.9,4886852.55,6166.4044,0.0
64664.2281,119.775506,504882.4,4843914.44,48429.4032,0.937176129
65576.8361,69.099353,748875.414,3447983.73,56723.7596,1.26895039
73863.0238,59.9636432,2838660.19,195896.929,17252.4295,0.0
66984.132,395.452068,396216.906,7256419.76,21376.7797,0.0
67453.4098,583.868477,1250791.97,1713340.89,3308.69145,0.0
64824.7566,714.737571,547826.049,4562564.91,6834.91304,0.0
66913.7152,30.8200022,441263.006,6665722.27,220850.239,36637.0917
66188.5471,1085.23961,912868.419,2743289.78,2237.73063,0.0
68648.6999,78.2604319,783395.529,4316862.37,51161.3058,1.04645223
64249.12,289.40949,393469.578,5658132.41,25363.0317,0.0145212665
64259.3823,41.2157272,397311.958,5625780.21,180893.172,19697.1002
65648.782,160.634172,767528.697,3360210.19,23367.5059,0.0
65532.0838,493.905446,737280.4,3503686.39,7404.78292,0.0
65134.116,206.820666,444059.021,5624432.82,32434.7824,0.297391298
63895.4971,36.1676969,289669.905,6559525.83,283219.114,63251.6576
68822.3839,55.6251732,672481.771,5320781.88,82845.4945,2.31381978
68865.3388,80.286578,1035509.82,2840382.01,37581.0946,0.503243785
66736.2415,173.577704,664380.146,4447326.22,26739.1166,0.0695646628
65783.2984,230.165927,313001.632,7503326.08,42654.1548,0.706166193
64688.284,1289.56155,509726.544,4813982.62,3770.19201,0.0
70423.4497,52.6879117,472730.609,8737511.69,125471.0,4.29447016
65302.8461,30.0001589,676034.49,3815719.75,145910.896,6590.7122
64083.1363,748.118977,349999.196,6009507.68,10596.9338,0.0
68541.7659,31.6213948,643573.372,5451568.6,149296.217,7985.73891
72067.1268,71.648739,887649.611,4943447.48,52916.618,1.11666472
65632.5414,30.2571062,764183.957,3374737.73,127889.641,122.397013
68009.0955,34.8894211,997996.381,2800578.46,86405.3398,2.45621359
66909.6907,1307.60855,1100606.74,2115635.86,1323.51742,0.0
65507.8392,705.135322,691696.577,3784384.03,5503.99495,0.0
69926.9781,472.334262,1908229.47,686496.488,2551.23189,0.0
73314.484,112.560386,2646596.46,260061.978,9958.67225,0.0
67716.0381,542.731882,1250820.87,1755483.18,3920.95497,0.0
65769.436,30.6973055,799948.284,3211634.94,120378.852,3.81515409
66016.0821,51.8407379,288005.987,8007837.41,200979.98,28264.3859
65645.1513,59.905283,421903.153,6129118.85,118430.063,3.7372025
66788.5648,92.9644313,1069631.51,2207855.98,29166.1283,0.166645132
66848.1866,97.6355918,743700.416,3914414.02,41697.9391,0.667917563
65601.7984,30.2337414,735935.691,3534666.44,133017.867,1967.06751
64752.462,331.826135,528435.113,4687607.05,16202.6427,0.0
72882.006,50.3119866,886453.657,5342503.4,73790.2172,1.95160869
67975.9915,163.785659,442265.646,7342807.51,44405.8595,0.77623438
69520.0469,1258.93922,1802949.96,793979.829,546.3922,0.0
66851.0472,462.102841,1086514.29,2156397.56,5174.50984,0.0
71886.7946,31.0190695,2337959.76,389778.099,40676.4394,0.627057575
65062.5398,240.573115,607243.254,4206140.61,19618.3458,0.0
64764.3904,42.2364582,531207.403,4670211.71,131825.691,1535.34638
67845.6362,1211.37331,1328970.65,1550814.11,1198.44829,0.0
65144.4334,43.8183192,633777.698,4046970.47,106351.872,3.25407489
65561.2941,41.7861117,744506.54,3469291.75,94858.2199,2.7943288
65517.8645,230.320826,732656.356,3527336.74,16867.7918,0.0
67612.2757,31.8054811,395424.198,7702179.7,239649.982,44590.3904
65361.1832,1147.00738,673589.541,3852769.08,3163.94793,0.0
70227.1083,31.5193521,736408.764,5422870.34,132829.798,2147.1498
67589.9052,163.785659,339092.649,8477753.57,56900.9041,1.27603616
65059.5339,34.4230594,551827.462,4630614.62,156093.511,10257.3828
70877.5748,45.1780669,2141280.87,499809.95,30091.7907,0.203671628
71046.4138,56.5746444,488946.615,8999482.67,114227.265,3.56909058
64005.6804,90.7322447,329300.823,6185306.23,98798.326,2.95193304
67573.9212,43.3471886,286211.417,9281064.43,243323.095,46155.5764
64372.8544,31.1247383,424112.624,5426244.27,224602.843,38075.646
64945.6893,32.1479113,574142.412,4407496.85,160430.833,11803.5947
69413.3912,35.8066846,671619.783,5628902.93,127706.636,277.720583
68933.3109,41.4471016,1592982.91,1083551.8,44521.0624,0.780842495
69759.4647,368.21453,1863465.24,730668.255,3586.1905,0.0
68707.2924,32.4539047,1581306.85,1082859.84,57220.127,1.28880508
66409.8884,1251.52317,971095.0,2530370.4,1686.64313,0.0
66840.504,1185.53909,1078030.01,2186329.46,1601.7853,0.0
67460.4718,474.3135,1250638.61,1714920.61,4258.97772,0.0
65365.5435,47.3317329,692860.884,3727226.91,89944.4258,2.59777703
66309.2316,93.5842478,914258.572,2767454.95,34136.3883,0.365455531
65213.7522,1285.15275,652304.64,3943855.19,2783.80921,0.0
68629.035,30.591227,609922.778,5827254.89,162801.519,12844.5659
64244.964,520.409471,323253.172,6390958.23,17222.2065,0.0
64771.9341,48.2380185,493533.688,4990098.27,124363.415,3.98859895
64729.4918,299.149298,508870.899,4839609.65,18837.328,0.0
66589.0907,109.868744,585234.255,5034796.08,47380.517,0.895220682
65597.1081,1303.51251,754745.524,3419366.18,2258.99019,0.0
64547.2502,30.0014329,473796.522,5057977.76,208511.085,31309.1909
71738.1967,68.8040556,1247517.02,2563572.76,38862.0566,0.554482264
63919.9982,732.060366,306633.984,6383219.7,12487.0902,0.0
65663.5824,673.157086,759040.994,3414886.4,5115.55628,0.0
67990.8433,39.8080094,331719.715,8912428.46,229106.889,40192.2136
66895.7491,40.8674475,834584.753,3356630.79,87608.7816,2.50435126
64177.3651,54.4237576,374343.638,5810810.75,145252.252,6354.49395
67123.4756,113.105779,842335.853,3382328.15,31844.9196,0.273796783
66367.7041,164.293498,667901.995,4271677.66,27611.6093,0.104464373
66519.0641,679.00983,997738.125,2440319.76,3640.88516,0.0
66172.3649,75.6896844,824228.403,3195968.11,47283.0815,0.891323259
66550.52,102.246106,825515.247,3302603.52,35275.0904,0.411003616
65841.6413,67.8320738,550548.706,4989953.89,80057.9043,2.20231617
65532.4924,32.7495198,309290.835,7378349.65,294770.483,68902.3959
67335.2091,86.1791761,1209019.15,1822429.59,27829.9517,0.113198066
65356.2352,1303.51251,690441.068,3739724.49,2540.32532,0.0
66002.2908,1182.07765,847852.833,3019271.71,2269.10701,0.0
65394.5654,375.913396,523337.006,5019471.44,15123.6021,0.0
64852.4661,142.704563,306139.852,6965608.24,68406.9622,1.73627849
65019.4658,30.2864787,559459.179,4552587.03,174975.061,17217.4388
67900.4969,149.961867,1013956.76,2696586.09,20341.1037,0.0
71423.544,33.8116758,1253856.59,2462552.76,73981.1607,1.95924643
70015.9616,126.482591,1530862.07,1334705.05,16350.2248,0.0
65533.1559,424.398676,609850.321,4373841.99,11281.9673,0.0
71307.7498,30.0014329,728135.759,6081250.93,142129.516,5544.59011
64890.6322,41.9783086,564919.207,4455996.12,124680.359,4.0040753
67552.3433,1220.3958,1276594.63,1653214.17,1147.50863,0.0
65805.7012,67.3734173,587304.73,4665241.11,75380.3795,2.01521518
